06/02/2018,01:10:00 PM,25.42
06/02/2018,01:20:00 PM,25.85
06/02/2018,01:30:00 PM,25.38
06/02/2018,01:40:00 PM,26.42
06/02/2018,01:50:00 PM,26.65
06/02/2018,02:00:00 PM,26.05
06/02/2018,02:10:00 PM,25.46
06/02/2018,02:20:00 PM,24.98
06/02/2018,02:30:00 PM,25.3
06/02/2018,02:40:00 PM,24.79
06/02/2018,02:50:00 PM,23.62
06/02/2018,03:00:00 PM,22.79
06/02/2018,03:10:00 PM,22.25
06/02/2018,03:20:00 PM,21.73
06/02/2018,03:30:00 PM,21.28
06/02/2018,03:40:00 PM,21.03
06/02/2018,03:50:00 PM,20.71
06/02/2018,04:00:00 PM,20.21
06/02/2018,04:10:00 PM,19.41
06/02/2018,04:20:00 PM,19.05
06/02/2018,04:30:00 PM,19.18
06/02/2018,04:40:00 PM,19.28
06/02/2018,04:50:00 PM,19.31
06/02/2018,05:00:00 PM,18.53
06/02/2018,05:10:00 PM,18.11
06/02/2018,05:20:00 PM,17.71
06/02/2018,05:30:00 PM,17.41
06/02/2018,05:40:00 PM,17.15
06/02/2018,05:50:00 PM,17.02
06/02/2018,06:00:00 PM,16.97
06/02/2018,06:10:00 PM,17
06/02/2018,06:20:00 PM,17.09
06/02/2018,06:30:00 PM,17.64
06/02/2018,06:40:00 PM,17.99
06/02/2018,06:50:00 PM,18.17
06/02/2018,07:00:00 PM,18.25
06/02/2018,07:10:00 PM,18.24
06/02/2018,07:20:00 PM,18.11
06/02/2018,07:30:00 PM,17.87
06/02/2018,07:40:00 PM,17.53
06/02/2018,07:50:00 PM,17.25
06/02/2018,08:00:00 PM,16.94
06/02/2018,08:10:00 PM,16.34
06/02/2018,08:20:00 PM,15.65
06/02/2018,08:30:00 PM,14.91
06/02/2018,08:40:00 PM,14.27
06/02/2018,08:50:00 PM,13.59
06/02/2018,09:00:00 PM,12.98
06/02/2018,09:10:00 PM,12.41
06/02/2018,09:20:00 PM,11.95
06/02/2018,09:30:00 PM,11.54
06/02/2018,09:40:00 PM,11.16
06/02/2018,09:50:00 PM,10.82
06/02/2018,10:00:00 PM,10.5
06/02/2018,10:10:00 PM,10.25
06/02/2018,10:20:00 PM,10.02
06/02/2018,10:30:00 PM,9.77
06/02/2018,10:40:00 PM,9.54
06/02/2018,10:50:00 PM,9.35
06/02/2018,11:00:00 PM,9.18
06/02/2018,11:10:00 PM,8.99
06/02/2018,11:20:00 PM,8.84
06/02/2018,11:30:00 PM,8.68
06/02/2018,11:40:00 PM,8.52
06/02/2018,11:50:00 PM,8.38
06/03/2018,12:00:00 AM,8.26
06/03/2018,12:10:00 AM,8.15
06/03/2018,12:20:00 AM,8.07
06/03/2018,12:30:00 AM,8.07
06/03/2018,12:40:00 AM,8.08
06/03/2018,12:50:00 AM,8.07
06/03/2018,01:00:00 AM,8.05
06/03/2018,01:10:00 AM,7.97
06/03/2018,01:20:00 AM,7.96
06/03/2018,01:30:00 AM,7.91
06/03/2018,01:40:00 AM,7.84
06/03/2018,01:50:00 AM,7.78
06/03/2018,02:00:00 AM,7.7
06/03/2018,02:10:00 AM,7.64
06/03/2018,02:20:00 AM,7.55
06/03/2018,02:30:00 AM,7.52
06/03/2018,02:40:00 AM,7.45
06/03/2018,02:50:00 AM,7.42
06/03/2018,03:00:00 AM,7.48
06/03/2018,03:10:00 AM,7.41
06/03/2018,03:20:00 AM,7.27
06/03/2018,03:30:00 AM,7.14
06/03/2018,03:40:00 AM,7.04
06/03/2018,03:50:00 AM,6.98
06/03/2018,04:00:00 AM,6.92
06/03/2018,04:10:00 AM,6.84
06/03/2018,04:20:00 AM,6.73
06/03/2018,04:30:00 AM,6.66
06/03/2018,04:40:00 AM,6.57
06/03/2018,04:50:00 AM,6.51
06/03/2018,05:00:00 AM,6.42
06/03/2018,05:10:00 AM,6.37
06/03/2018,05:20:00 AM,6.38
06/03/2018,05:30:00 AM,6.34
06/03/2018,05:40:00 AM,6.36
06/03/2018,05:50:00 AM,6.41
06/03/2018,06:00:00 AM,6.48
06/03/2018,06:10:00 AM,6.61
06/03/2018,06:20:00 AM,6.96
06/03/2018,06:30:00 AM,7.36
06/03/2018,06:40:00 AM,7.77
06/03/2018,06:50:00 AM,8.27
06/03/2018,07:00:00 AM,8.73
06/03/2018,07:10:00 AM,9.16
06/03/2018,07:20:00 AM,9.71
06/03/2018,07:30:00 AM,11.02
06/03/2018,07:40:00 AM,12.46
06/03/2018,07:50:00 AM,13.72
06/03/2018,08:00:00 AM,14.7
06/03/2018,08:10:00 AM,16.01
06/03/2018,08:20:00 AM,16.7
06/03/2018,08:30:00 AM,17.14
06/03/2018,08:40:00 AM,17.49
06/03/2018,08:50:00 AM,18.36
06/03/2018,09:00:00 AM,19.6
06/03/2018,09:10:00 AM,20.83
06/03/2018,09:20:00 AM,21.6
06/03/2018,09:30:00 AM,22.05
06/03/2018,09:40:00 AM,22.32
06/03/2018,09:50:00 AM,22.86
06/03/2018,10:00:00 AM,23.38
06/03/2018,10:10:00 AM,23.4
06/03/2018,10:20:00 AM,23.5
06/03/2018,10:30:00 AM,23.63
06/03/2018,10:40:00 AM,23.78
06/03/2018,10:50:00 AM,23.82
06/03/2018,11:00:00 AM,24.2
06/03/2018,11:10:00 AM,24.52
06/03/2018,11:20:00 AM,24.81
06/03/2018,11:30:00 AM,24.98
06/03/2018,11:40:00 AM,25.27
06/03/2018,11:50:00 AM,25.12
06/03/2018,12:00:00 PM,25.44
06/03/2018,12:10:00 PM,25.52
06/03/2018,12:20:00 PM,25.84
06/03/2018,12:30:00 PM,25.72
06/03/2018,12:40:00 PM,25.75
06/03/2018,12:50:00 PM,26.25
06/03/2018,01:00:00 PM,26.26
06/03/2018,01:10:00 PM,26.14
06/03/2018,01:20:00 PM,26.08
06/03/2018,01:30:00 PM,26.42
06/03/2018,01:40:00 PM,26.45
06/03/2018,01:50:00 PM,26.49
06/03/2018,02:00:00 PM,26.58
